"oslaua","wave","mean_price","max_price","min_price","transactions"
"E07000011",1,204402.565898792,2100000,31000,5296
"E07000011",2,223438.666897891,12969040,20400,7208
"E07000011",3,264453.974887426,17007074,3000,5774
"E07000012",0,275298.089772727,2508000,35100,2640
"E07000012",1,284485.171422152,2250000,35404,4451
"E07000012",2,315547.51306071,8400000,2000,5551
"E07000012",3,381271.211340206,7780000,5000,4074
"E07000026",0,166738.991935484,765000,18000,1240
"E07000026",1,157747.823279925,830000,18000,2122
"E07000026",2,178981.634531407,30900000,17000,2977
"E07000026",3,169161.447009841,3100000,15000,2642
"E07000027",0,113896.950570342,452000,18700,1052
"E07000027",1,112234.473946785,660000,10000,1804
"E07000027",2,119468.935316947,2469500,7500,2319
"E07000027",3,126083.71472937,2850000,15000,2254
"E07000028",0,141239.001328904,1000000,15000,1505
"E07000028",1,140193.551369863,735000,27000,2628
"E07000028",2,154059.841612262,19760000,1000,3523
"E07000028",3,152796.383982273,3014414,26250,3159
"E07000029",0,133125.023174971,471000,18415,863
"E07000029",1,126407.585086042,770000,20000,1569
"E07000029",2,130928.0444558,2650000,15500,1957
"E07000029",3,135153.29185022,925000,4750,1816
"E07000030",0,213161.588855422,1020000,22500,664
"E07000030",1,194933.158703072,950000,22500,1172
"E07000030",2,220270.180946292,7367000,5000,1564
"E07000030",3,221182.469204152,5398452,2000,1445
"E07000031",0,240704.741007194,2850000,7000,1668
"E07000031",1,223899.395585144,2250000,20000,2854
"E07000031",2,242250.561491375,5330000,15000,3594
"E07000031",3,258350.080023536,11108858,1000,3399
"E07000032",0,162193.077840909,1400000,17000,1760
"E07000032",1,155074.710456651,2425000,30000,3022
"E07000032",2,171986.01981409,31000000,18000,4088
"E07000032",3,187604.301463169,6750000,2500,3964
"E07000033",0,113890.738748628,525000,22500,911
"E07000033",1,107732.133373567,970000,19000,1657
"E07000033",2,118359.068475992,2931833,20000,2395
"E07000033",3,161484.145299145,64661605,3500,2340
"E07000034",0,141476.897045658,795000,35000,1117
"E07000034",1,132126.232208029,1000000,25000,2192
"E07000034",2,152199.356365963,1720000,12000,3126
"E07000034",3,162404.355913585,6370000,13500,2731
"E07000035",0,254671.395073892,1725000,35875,1015
"E07000035",1,239311.726382488,1400000,28500,1736
"E07000035",2,257807.356134157,1800000,8000,2266
"E07000035",3,275005.712003872,4145000,8000,2066
"E07000036",0,135664.215112736,800000,21500,1641
"E07000036",1,137673.737839771,950000,17500,2796
"E07000036",2,152030.129336735,15250000,19375,3920
"E07000036",3,161717.953441874,2062500,7000,3501
"E07000037",0,172680.569285084,750000,550,1133
"E07000037",1,174804.866451017,850000,28000,2164
"E07000037",2,177653.134739707,3700000,22500,2939
"E07000037",3,194761.989724771,2300000,150,2725
"E07000038",0,167155.869897959,1125000,20000,1176
"E07000038",1,164816.334895833,1250000,26000,1920
"E07000038",2,176317.83173785,3902021,6244,2716
"E07000038",3,190594.555962556,2134070,25000,2457
"E07000039",0,169322.176386913,915000,30000,1406
"E07000039",1,169771.089430894,835000,20000,2460
"E07000039",2,181151.606246514,11850000,30000,3586
"E07000039",3,205992.854786451,20075000,30000,3395
"E07000040",0,265692.027529762,3100000,38733,2688
"E07000040",1,258937.815601346,1953500,26000,4756
"E07000040",2,269854.942951438,19972500,6250,6363
"E07000040",3,279750.182576295,2000000,10000,5636
"E07000041",0,206902.014667365,1360000,31500,1909
"E07000041",1,212332.864138126,1999000,16000,3533
"E07000041",2,251582.989727557,19972500,5000,4478
"E07000041",3,275966.699091132,14710000,5000,4071
"E07000042",0,220954.893401015,2500000,40000,1182
"E07000042",1,215627.176812892,1360000,31000,2234
"E07000042",2,224716.981229297,2300000,20533,2717
"E07000042",3,235419.574269996,1675000,39950,2363
"E07000043",0,222928.324358974,1100000,36250,1560
"E07000043",1,216679.59244012,3600000,22500,2672
"E07000043",2,226277.15152412,2850000,1500,3379
"E07000043",3,248223.885121791,13285244,40000,3038
"E07000044",0,319381.930217248,3825000,32000,1519
"E07000044",1,293277.714560123,3420000,37500,2603
"E07000044",2,324452.687645012,11300613,5000,3448
"E07000044",3,336216.548472776,12177500,15000,3012
"E07000045",0,225146.986423221,1090000,30000,2136
"E07000045",1,223904.694500505,2250000,29500,3964
"E07000045",2,230985.05496988,5350000,20000,5312
"E07000045",3,247695.158101902,2950000,5000,4573
"E07000046",0,209922.278813559,945000,40250,1180
"E07000046",1,197491.206749049,843067,35000,2104
"E07000046",2,206428.663777537,910000,22600,2769
"E07000046",3,228427.800159553,5371582,1000,2507
"E07000047",0,237210.545547595,3300000,55000,977
"E07000047",1,228507.532544379,1950000,38164,1521
"E07000047",2,237379.096464646,1732016,27000,1980
"E07000047",3,250246.042337507,1545000,27730,1677
"E07000048",0,282855.905252317,1300000,37500,971
"E07000048",1,282158.841232228,4250000,60000,1688
"E07000048",2,296588.502093997,2000000,16000,2149
"E07000048",3,347443.783769634,8221970,52000,1910
"E07000049",0,291225.969480519,1370000,45000,1540
"E07000049",1,291481.911960716,1175000,48000,2851
"E07000049",2,318836.963287671,26221312,30000,3650
"E07000049",3,353689.104915869,11000000,1000,3031
"E07000050",0,251788.817866435,2150000,40000,1153
"E07000050",1,239482.115971516,1550000,45000,1966
"E07000050",2,254810.950171168,2800000,20000,2629
"E07000050",3,270774.390201977,7125000,25200,2327
"E07000051",0,271130.809392265,890000,32000,724
"E07000051",1,273693.607555898,1700000,75000,1297
"E07000051",2,284837.595690748,2400000,8000,1578
"E07000051",3,325632.425352113,4079667,45000,1420
"E07000052",0,260016.478046103,1150000,65000,1822
"E07000052",1,267481.674179649,2275000,58500,3017
"E07000052",2,273703.638571429,3988044,1000,4200
"E07000052",3,297482.089501829,9200000,500,3553
"E07000053",0,207185.789371981,1250000,55000,1035
"E07000053",1,204029.759733037,1000000,47250,1798
"E07000053",2,231373.229281768,30100000,40000,2534
"E07000053",3,224398.956289028,1358860,1000,2242
"E07000061",0,204698.08916849,1110000,39500,1828
"E07000061",1,198418.166666667,1050000,19700,3228
"E07000061",2,249298.597153332,29900000,9500,4637
"E07000061",3,239501.795363908,4200000,7500,4012
"E07000062",0,161849.774733638,655000,1889,1314
"E07000062",1,165347.731543624,775000,19950,2533
"E07000062",2,180777.701759208,6649000,11000,3638
"E07000062",3,200563.492419825,4200000,200,3430
"E07000063",0,268877.522342995,2750000,10000,1656
"E07000063",1,272316.310025543,2725000,35000,3132
"E07000063",2,319094.238155242,9800000,2500,3968
"E07000063",3,331978.14437299,3950000,13200,3110
"E07000064",0,251138.046072061,1600000,39999,1693
"E07000064",1,245639.400502197,2725000,19995,3186
"E07000064",2,259390.874735107,1675000,4000,4247
"E07000064",3,297351.24061926,4230000,4500,3811
"E07000065",0,302043.954298993,3000000,38000,2582
"E07000065",1,287357.775014686,3650000,42500,5107
"E07000065",2,309362.13907496,4725000,30000,6270
"E07000065",3,344370.887724249,4675000,1476,4961
"E07000066",0,225962.083443127,2175000,31250,2277
"E07000066",1,218723.920436094,1900000,33250,4311
"E07000066",2,326830.304026294,88232909,25000,6085
"E07000066",3,284835.363903155,7163092,17000,5452
"E07000067",0,222785.06743567,2350000,6200,2254
"E07000067",1,218040.330482115,1675000,25000,3858
"E07000067",2,237824.21319133,7637000,5000,5352
"E07000067",3,275935.163990365,9170000,8000,4982
"E07000068",0,347617.439935065,2100000,40000,1232
"E07000068",1,346549.288849868,3525000,28000,2278
"E07000068",2,404268.492053401,77940000,32750,3146
"E07000068",3,453200.514876033,8500000,6999,2420
"E07000069",0,212553.14212766,1100000,20000,1175
"E07000069",1,210152.414009662,1499950,42000,2070
"E07000069",2,232095.066945607,1400000,19000,3107
"E07000069",3,278656.417284866,3600946,36996,2696
"E07000070",0,260019.882037534,3275000,17500,2611
"E07000070",1,253827.098527501,1675000,33750,4618
"E07000070",2,297449.406944216,34375000,28000,6077
"E07000070",3,346235.979415904,26270718,5000,5684
"E07000071",0,203976.186579938,1550000,15000,2921
"E07000071",1,205413.057709487,2200000,29500,5597
"E07000071",2,227161.140273312,13710000,15000,7464
"E07000071",3,267516.287318461,18800000,2500,6679
"E07000072",0,352824.119170984,3735000,40000,1930
"E07000072",1,357618.598950743,3050000,42250,3431
"E07000072",2,404462.71217468,3500000,35537,4534
"E07000072",3,485571.468970935,12300000,3250,3819
"E07000073",0,188837.134854772,850000,35000,964
"E07000073",1,191156.612550374,750000,34000,1737
"E07000073",2,219078.1394081,6950300,24300,2568
"E07000073",3,271667.59339207,22000000,10000,2270
"E07000074",0,244437.753045404,2900000,45900,903
"E07000074",1,246773.213518636,3500000,50000,1583
"E07000074",2,271256.19971333,3675000,30000,2093
"E07000074",3,318538.191437008,2545000,29700,2032
"E07000075",0,242887.522553191,1000000,50000,1175
"E07000075",1,235184.555505211,1425000,44000,2207
"E07000075",2,257734.766924891,1695000,42000,2969
"E07000075",3,316498.458367017,2823713,40000,2474
"E07000076",0,175981.241886629,1500000,20000,2311
"E07000076",1,170689.352983988,1525000,10000,4122
"E07000076",2,180054.252250778,2310000,19995,6109
"E07000076",3,206282.584595729,7250000,6000,5479
"E07000077",0,335878.014403292,3100000,36000,1458
"E07000077",1,330983.118515714,2795000,33000,2641
"E07000077",2,355400.832174176,3100000,10000,3307
"E07000077",3,405941.614612188,3475000,8000,2888
"E07000078",0,256228.173573866,2500000,40000,2051
"E07000078",1,246211.92875685,1675000,36500,3467
"E07000078",2,289072.015549273,21755000,2000,4952
"E07000078",3,304973.920220083,17010000,2000,4362
"E07000079",0,349798.39212828,2600000,43500,1372
"E07000079",1,334588.892410016,3300000,37500,2556
"E07000079",2,368143.683338355,31345000,1000,3319
"E07000079",3,392210.435091278,9000000,4000,2958
"E07000080",0,207943.620517928,810000,36000,1004
"E07000080",1,193011.135849057,995000,4500,1855
"E07000080",2,196654.809469697,1000000,10000,2640
"E07000080",3,223923.472950127,13100000,33000,2366
"E07000081",0,155260.63087886,550000,33500,2105
"E07000081",1,152938.840450771,550000,33750,3372
"E07000081",2,177839.484168589,28856997,31500,4769
"E07000081",3,189714.260038703,5300000,7500,4134
"E07000082",0,240077.720835752,1500000,40000,1723
"E07000082",1,236512.00190779,3500000,40000,3145
"E07000082",2,248979.741705633,19972500,34000,4491
"E07000082",3,310174.530860781,6560000,11840,3613
"E07000083",0,232323.692252511,1650000,32000,1394
"E07000083",1,226409.642294221,3404000,46000,2284
"E07000083",2,256976.921952736,24250000,43900,3216
"E07000083",3,275482.372406981,13247223,7500,3037
"E07000084",0,249041.82728234,3550000,34500,2837
"E07000084",1,252144.043356944,2950000,47250,4659
"E07000084",2,286952.382154618,39957884,10000,6377
"E07000084",3,323815.992854307,22683800,1000,5038
"E07000085",0,326659.050653595,1950000,46500,1836
"E07000085",1,322842.499388379,2925000,35000,3270
"E07000085",2,346464.173060884,3250000,20000,4796
"E07000085",3,386533.535760728,6700000,2800,3845
"E07000086",0,222865.930430165,875000,31875,1883
"E07000086",1,231629.730572887,1225000,42500,3526
"E07000086",2,250605.181799507,31250000,10000,4868
"E07000086",3,302790.397535831,18964000,7500,3977
"E07000087",0,232670.277376655,2450000,34000,1662
"E07000087",1,234890.124422633,1425000,42000,3464
"E07000087",2,257722.259048971,19972500,15000,4227
"E07000087",3,332743.585293323,52532210,9000,3699
"E07000088",0,167411.410878661,830000,29000,1195
"E07000088",1,168220.695442594,900000,35500,2282
"E07000088",2,179785.059725849,4004920,20000,3064
"E07000088",3,197658.129353234,5082500,10000,2613
"E07000089",0,325005.927486188,1700000,48750,1448
"E07000089",1,348711.407519939,3200000,58000,2633
"E07000089",2,377933.671269095,23600000,46000,3404
"E07000089",3,433754.891713437,5768000,12500,3029
"E07000090",0,216723.679581796,985000,17500,1626
"E07000090",1,212567.977708116,2400000,29000,2871
"E07000090",2,248166.836563157,18153539,28800,4283
"E07000090",3,262039.270305563,7567000,15000,3829
"E07000091",0,288918.871373308,2500000,31000,3102
"E07000091",1,292035.348985507,2148000,40000,5175
"E07000091",2,316309.018529412,19972500,1188,6800
"E07000091",3,355883.147467037,22980000,1,5764
"E07000092",0,215059.080599144,680000,44000,1402
"E07000092",1,212548.695599516,1260000,54000,2477
"E07000092",2,238335.915615363,11342155,3400,3567
"E07000092",3,369240.114886165,36139000,40000,2855
"E07000093",0,286820.294437727,1785000,48000,1654
"E07000093",1,285839.826799486,2400000,60000,3112
"E07000093",2,300761.492776524,10050000,40000,4430
"E07000093",3,334563.576359833,28500000,4000,3824
"E07000094",0,355938.406797116,1870000,33750,1942
"E07000094",1,363568.969605778,3210000,58000,3323
"E07000094",2,409903.623523964,28290000,40000,4319
"E07000094",3,448892.137426901,17010000,1000,3420
"E07000095",0,251433.144211239,1650000,50000,1477
"E07000095",1,249557.739060618,1325000,50000,2491
"E07000095",2,274900.401301518,2087000,1000,3227
"E07000095",3,339271.70108088,4000000,2030,2683
"E07000096",0,313376.413980745,3100000,38250,2389
"E07000096",1,316083.374126716,3000000,38750,4151
"E07000096",2,370481.222124361,60600000,5000,5677
"E07000096",3,428805.641722863,7750000,1000,4597
"E07000098",0,376030.591194969,3950000,3000,1431
"E07000098",1,363240.163170163,3875000,53750,2574
"E07000098",2,464635.223350254,37000000,25000,3546
"E07000098",3,516386.088022092,32229079,2250,2897
"E07000099",0,269002.994129158,2250000,35500,2044
"E07000099",1,266431.399354144,2150000,40500,3716
"E07000099",2,300083.324273072,8150000,2500,4746
"E07000099",3,354440.612366526,9500000,500,4027
"E07000102",0,390878.28045977,3550000,48500,1305
"E07000102",1,395777.452265372,2900000,47500,2472
"E07000102",2,469915.302749361,38100000,11999,3128
"E07000102",3,523035.443879712,5000000,5000,2361
"E07000103",0,248349.780128205,980000,35000,1560
"E07000103",1,257400.826055834,1225000,15000,2794
"E07000103",2,299168.043760587,7490000,12000,3542
"E07000103",3,401492.063773585,27000000,9600,2650
"E07000105",0,228583.78126557,1750000,28500,2007
"E07000105",1,225676.792605951,3350000,28350,3327
"E07000105",2,263910.973671838,20900000,9000,4254
"E07000105",3,283541.882923368,6876345,5500,4228
"E07000106",0,230508.725112659,1090000,28605,2441
"E07000106",1,229134.253747795,3800000,23125,4536
"E07000106",2,249531.269592476,5500000,100,6061
"E07000106",3,301239.035277028,37349500,2000,4819
"E07000107",0,210179.075092937,1075000,34500,1345
"E07000107",1,214896.358595194,1237500,28500,2705
"E07000107",2,251843.43,10750000,25000,4000
"E07000107",3,299219.641455116,16163541,4500,3821
"E07000108",0,198445.66710013,1600000,30000,1538
"E07000108",1,187659.938267717,1505000,23750,3175
"E07000108",2,206059.666746469,1995000,24000,4177
"E07000108",3,235611.998250875,3780000,15000,4002
"E07000109",0,207989.911564626,1750000,31250,1176
"E07000109",1,206081.706076307,1140000,5000,2123
"E07000109",2,228459.938978402,3000000,15000,2917
"E07000109",3,282550.442542787,12509500,1000,2454
"E07000110",0,234550.202033599,1350000,35000,2262
"E07000110",1,230080.817564403,1550000,31250,4270
"E07000110",2,255272.149592343,12300000,30000,5642
"E07000110",3,310944.007361719,66205000,2000,5026
"E07000111",0,387006.429301533,4750000,10000,1761
"E07000111",1,405548.702749141,3473500,31250,2910
"E07000111",2,420417.69726206,6790000,15000,3835
"E07000111",3,486035.737909516,30035000,4200,3205
"E07000112",0,205990.322159091,977500,23365,1760
